"Col1","user","description","result","apply_dt","close_dt","update_ts"
"","lol","26，男，已婚，大学文凭，来新工作2.5年，薪水超过4千，无需公司support letter，与老婆一起通过，老婆没有在新加坡工作的经验。","通过","2013-12-23","2014-06-09","2014-06-18 1:43"
"","longxiaoye","已经等了好久，决定来登记一下，希望早点得到结果。老公是主申请人，NTU Ph.D degree, 毕业后公司工作EP，4500+ 。我是拿DP 工作，国内985master毕业教育专业，3500。有个男宝宝。我们来坡已经有5年多，以各种组合申请PR3次，appeal两次……如果这次再失败，我真是就无语了","通过","2013-10-25","2014-06-16","2014-06-16 5:20"
"","Kim","第五次Family Application。 老婆MOE华文老师，重点师范大学毕业，来新6年，monthly gross salary 2800+。本人一路以来985院校混，经济学博士，国内有过银行和财政部的实习经验，助教职称，来新4年，主申请人，月薪4600。","通过","20121218","null","2014-06-14 8:27"
"","xiaoyu","主申请人phd，附属申请人国内master，来坡约四年","通过","2014-02-17","2014-05-29","2014-06-13 14:52"
"","xiang","O LEVEL temasek poly毕业 工作6个月申请 起薪2000 现在2200 08年来新 6个月后通过","通过","2013-11-27","2014-06-07","2014-06-10 10:15"
"","885","来新加坡 3年，夫妻，国内本科，英国硕士，工资分别3000多，NTU","失败","2014-04-02","2014-06-04","2014-06-09 6:18"
"","kaola","老公SC，薪水basic5000,楼主SP$2200","通过","2014-01-02","2014-05-28","2014-05-31 3:51"
"","ShawnKoh","Fresh Graduate，2006年来新，政府中学N水准+O水准，2013年义安理工毕业，某本地房企公司工作6个月后申请，非独生子，Basic Salary $2000, Gross $3200.","通过","2013-12-18","2014-05-31","2014-05-31 13:38"
"","Yuki","Apr 13 Poly毕业工作，Sep 13申请， May 14 批。 工资2000无涨薪水。","通过","27.09.13","26.05.14","2014-05-28 1:55"
"","陈大宝宝","本地POLY毕业工作一年，在新4年，女。","通过","2013-10-15","2014-05-27","2014-05-27 1:46"
"","kericyj","S Pass holder,salary$2800,来新6年，一直在同一公司。老公(SC) sponsor","通过","2013-10-12","2014-05-08","2014-05-08 13:13"
"","snowlady","女，大专学历，来新6年，一直SP, 薪水2500， 老公local, poly毕业，他近10年无CPF紧因为自雇人士，他年收入5万多，我俩于13年5月27日结婚注册，8月28日交材料，14年5月5日查到批准，供参考。","通过","2013-08-28","2014-05-05","2014-05-06 9:09"
"","lazzylazzy","政府中学---NYP---Spass($2000) 独生子女","通过","2013-06-20","2014-04-29","2014-05-05 14:36"
"","Kitty1999","来新工作2年多，国内一本，P1, 30+女单独申请(第一次)","通过","2013-12-16","2014-04-07","2014-05-03 12:18"
"","龙的传人","Spouse sponsored by husband (SC). ROM last Aug and applied for PR in Oct. Total waiting time was 6 months. All the best to those who have applied!","通过","2013-10-25","2014-04-28","2014-04-28 3:48"
"","zhongwen","10年poly毕业，12年澳洲本科回新，底薪3000，终于等到结果啦","通过","2013-10-25","2014-04-28","2014-04-28 1:10"
"","kalestain","NTU, SM3, Student Pass 转 PR, 但是现在貌似不可以了","通过","2012-10-20","2013-04-10","2014-04-26 5:38"
"","Liu qunzhao","Poly 毕业，工作5个月申请。","null","2014-03-10","null","2014-04-25 0:35"
"","silieqingkuang","国内重点本科毕业，985,211.25岁，来新工作两年多，EP, basic 3800. 带老婆一起申请，澳洲读书，硕士毕业，在新工作一年多，SP，gross salary 4500+ 选在了她生日的这天递交材料，期待好运。 等到五个月时候悲剧了，下半年再战。","失败","2013-10-29","2014-04-10","2014-04-17 10:17"
"","Diablo","Degree and Diploma , 来新7年了","通过","2013-05-18","2014-02-11","2014-04-10 7:34"
"","AuntieJ","国内大学本科毕业， 来新1年8个月， SPass，月薪2000。 老公，sponsor, SC，月薪3700。 去年6月注册结婚注册，8月申请的。","通过","2013-08-19","2014-03-24","2014-04-01 7:20"
"","Manchester","O level + poly + 5-year stayed in SG","通过","2013-09-02","2014-02-11","2014-03-29 2:16"
"","tzforest","我带老婆一起申请，同为生物土博，本人申请时来新3年2月，老婆来新1年4月，两人工资basic都是4600+，","通过","2013-09-02","2014-03-04","2014-03-17 10:55"
"","八月风","夫妻一起申请，男主。 等待了5个半月， 等待期间补过一次家庭成员信息，主动补过税单。在补材料的过程中，从来没有追问过审批情况，个人觉得问负责补材料的人除了显得你心急，其他没什么用处，不如耐心等待，该来的总会来~ 你这个不如不拿出来晒，屁用没有，SB","失败","2012-03-10","2012-08-22","2014-03-11 8:13"
"","Leon","政府理工毕业，因为个人原因，申请两次失败，这是第三次，成功通过","通过","2013-06-24","2014-02-26","2014-03-04 21:20"
"","lkk","是独立也是第一次申请，申请时EP三年，国内211毕业，Basic $3700...","失败","2013-06-25","2014-03-03","2014-03-03 0:37"
"","joycejw","老公新加坡人，申请时已经结婚2年了，没有小孩。我自己是拿SPASS上班，底薪2280，老公薪水3000这样。今年初老公加薪了，然后有给ICA补充材料说加薪了。昨天早上查，通过","通过","2013-07-26","2014-03-01","2014-03-02 0:19"
"","un","Poly, 2013年毕业， 拿4个月工资申请，5个月后，PR approved。","通过","2013-09-25","2014-02-25","2014-02-27 10:36"
"","Philipzzz","NUS B.ENG.(Hons), MSc, 26yo, M, Single, 来新7年半，刚开始工作6个月，EP，3400/mth 8月30日收信要求补交材料（家庭工作信息），9月7日补交。 15 Feb Approved!","通过","2013-07-20","2014-02-15","2014-02-17 1:27"
"","iris","国内本科。2011年来新加坡， 国大master毕业，正在读国大part time phd，full time research engineer。申请时在国大工作1个月，在之前的公司工作了7个月。月薪S$3000。单身。","失败","2013-06-21","2014-01-15","2014-02-14 3:12"
"","Duan Chen","2014年1月份和新加坡公民在新加坡注册结婚，本人2013年8月拿SP到新加坡，月薪2500","null","2014-02-11","null","2014-02-12 4:01"
"","Sheepo","Fresh grad, 80k annual pay, B.E. in China, PhD in NTU, 4yrs in NTU and 3 months work exp when I applied for PR. Apply for PR with my wife, she was EP Q1 holder 50k+ annual, 3yrs+ in SG. We finished ROM one day before our application of PR.","通过","2013-02-05","2013-07-30","2014-01-05 13:57"
"","Flora","主申请人海外工科硕士，在新工作1年后申请，EP holder，Basic Salary S$4200，已婚，妻子国内文科硕士，DP Holder，月薪S$1800。三个半月收到通知。失败。","失败","2013-08-26","2013-12-12","2013-12-20 3:20"
"","POPO","poly，四大就职，SP holder ，basic 1800+","通过","2012-12-05","2013-12-03","2013-12-11 12:50"
"","资深麦霸","来新6年，2012年POLY毕业，有O level证书。basic 3800＋，EP holder","通过","2012-11-16","2013-10-01","2013-12-11 12:01"
"","bamboo55","EP 年底4年薪水+4500 悲剧again","失败","2013-07-13","null","2013-12-09 8:19"
"","michelle","24岁 来新2年半 Malaysia diploma 毕业 工作4个月半 e pass salary 2600","通过","2013-08-13","2013-11-26","2013-12-03 5:23"
"","xyz","NUS本科，NTU硕士，来新8年， 3500+","null","2013-02-15","null","2013-11-26 10:17"
"","viola","12年poly 毕业，女，SP,工作8个月申请，月薪$2200,独立申请，有公司推荐信","通过","2013-02-25","2013-11-08","2013-11-18 8:54"
"","PeaceB","Poly毕业, S-pass, 工作7个月后申请","通过","2013-01-26","2013-11-10","2013-11-12 2:22"
"","brighteddy","In total 5 years in SG; Graduated from NTU with Master's Degree;BA attained in China; 4500 monthly salary; Single","上诉中","2012-10-21","null","2013-11-11 8:51"
"","rococo","全家申请。老公EP1 申请时来新半年。老婆4500刀每月 申请时来新4个月。外加一男孩。夫妻硕士学历。","通过","2013-01-28","2013-11-01","2013-11-01 13:45"
"","smint","2 years in singapore. salaried 9k. wife dp, china master. + 2kids girl to apply","失败","2013-05-29","2013-10-21","2013-10-21 13:25"
"","cnl","P1，国内硕士，来新一年。带老婆儿子一起申请。老婆不工作，儿子小学，都在新加坡。","null","2013-10-19","null","2013-10-20 7:58"
"","Alanm","国内硕士，国内工作两年，来新三年，底薪 3700+，SP. 杯具了，三个月零6天被拒。","失败","2013-07-13","2013-10-19","2013-10-20 12:21"
"","whucool","国内985大学工科学士，12年10月来新，LVTP11月底拿到，然后买了2手房，现在无工作，老公SC（新公民，2012年8月8日通过），申请时结婚10个月。","通过","2013-01-16","2013-09-25","2013-09-27 9:06"
"","Miserable2013","来新4年整EP, 工资4000元, 补交材料, 杯具","失败","2013-05-17","2013-09-11","2013-09-23 8:38"
"","anonymous","主申请人：国内本科，NUS part-time 计算机硕士，在新加坡呆两年，工作1年。程序员，gross=basic=$3200。老婆：国内本科，NTU文科在读硕士，结婚半年多。申请一个半月后被拒","失败","2013-07-20","2013-09-07","2013-09-21 6:23"
"","Bian xin","null","null","12072013","null","2013-09-13 9:12"
