"Col1","user","description","result","apply_dt","close_dt","update_ts"
"","孟浩然","男37金融科技业,未婚,硕士毕业,住Bedok","通过","2022-02-14","2023-10-11","2023-10-13 00:39"
"","D","男 EP IT 陆本美水硕月薪 10k，女 STP 陆本 SG 硕在读，没有孩子，来新 2 年第一次申请。","等待","2023-09-14","null","2023-10-12 17:04"
"","ppprrr","PEP+EP 海外硕士 来新11个月申请。申请后一个半月被要求补交父母工作信息。申请六个半月后 刷出四条线但还能重新申请。应该是凉了","杯具","2023-03-20","null","2023-10-11 22:09"
"","adora","已婚未育双EP，主申请人女（IT 10K+ 来新2年多）","等待","2023-06-02","null","2023-10-11 20:19"
"","西西西","35岁已婚水硕EP(12K)+水硕SP(8K)+1孩, 中国。来新2年+。","等待","2023-05-31","null","2023-10-10 10:07"
"","匿名","在新20年PR家庭，给中国出生的ltvp女儿申请PR","杯具","2023-01-22","2023-10-09","2023-10-10 04:30"
"","山顶黑毒蛇","马来西亚男，25岁，EP,月薪3000，来新一年，设计师","等待","2023-05-10","null","2023-10-09 10:15"
"","打工仔AL","38歲台灣人，單身，碩士學位，EP持有人，來新加坡約一年四個月時申請，醫療產業，月薪10k，繳過兩次稅。

謝謝各位的分享","通过","2022-12-30","2023-08-19","2023-10-07 00:23"
"","大有","老公PEP  IT manager，老婆EP IT，已婚未育，PEP来新1年，都是国内学历，夫妻年薪60W新币。","等待","2023-10-04","null","2023-10-05 20:03"
"","Z369","EP+DP, NUS master, 无孩，年收入11W+，来新10年+。
2022年2月28申请，2023年6月补充家庭信息，8月29号无法上传资料，9月7号approve，附带电子outcome letter，共等待18个月。祝大家好运","通过","2022-02-28","2023-09-07","2023-10-04 23:24"
"","i350600","来新两年, 首次申请; Sep14 ica要求更新材料; Sep20提交材料, 当天四条线;
1EP(主申/非东亚PhD/有的没的费钱证书),1DP(申请搭子/MBA/就是玩儿);
都不容易, 祝好运!","通过","2022-10-05","2023-09-29","2023-10-04 20:18"
"","123321","98年，来新6年，EP 工作5个月 ，第一次申请。希望能过。","等待","2023-08-22","null","2023-10-04 15:43"
"","umr33","男 13年来SG读本科，tuition grant 毕业后去美国两年读master之后回到新加坡工作，第二次申请成功上岸。","通过","2023-05-10","2023-09-07","2023-10-03 16:36"
"","ubwzwd","96男，单身，IT，EP，来坡两年半，工资8.5k，第一次申请。","等待","2023-09-25","null","2023-10-03 16:23"
"","Default","IT，15k，老婆孩子在国内，独自来坡1年半","等待","2023-04-13","null","2023-10-03 11:35"
"","诺娃保证过","1. 夫妻加女孩申请，丈夫主申请人，夫妻皆EP. 2. 主申请人月收入13000新币。金融科技行业。3. 夫妻都是美国top大学研究生毕业。4. 来新2年半。","等待","2023-07-20","null","2023-10-03 10:01"
