"Col1","user","description","result","apply_dt","close_dt","update_ts"
"","WK","EP and EP，来新一年半申请。带一个孩子 Z主申，>10000 month","通过","2019-10-03","2021-03-19","2020-07-01 15:48"
"","6666","来新6年+,basic 7k+,master，single","通过","2019-11-03","2020-06-24","2020-07-01 11:38"
"","QQ...","EP, 7K+, Taiwan","等待","2020-03-29","null","2020-06-30 16:13"
"","pingbei","来新六年，NTU PhD，研究助理，第一次申请","等待","2020-02-09","null","2020-06-29 18:39"
"","皮卡","25，男，来新7年半，NUS本科，工作5个月，EP研究助理，月薪3.3K。6个月零1天","通过","2019-12-23","2020-06-24","2020-06-25 23:50"
"","孙笑川","高二中途过来新加坡读Poly 来新5年 工资below 3K 单身男 23岁 上个月刚收到ICA的信说由于Covid19 审批时间会延长","等待","2019-07-12","null","2020-06-24 13:57"
"","支付宝","中国人 本地学历 来新10年 25岁 工作半年 4k","通过","2019-11-09","2020-04-02","2020-06-22 22:45"
"","快熟面","2005 来新从小学1年级到poly， poly 最后学期已学生证申请一次6个月被拒。毕业后全职，第二次申请时已工作10个月。疫情期间面临失业，马上就找到新工作update ica 。","通过","2019-07-31","2020-06-17","2020-06-22 18:56"
"","shawn_Goodman","来新四年，国内本，IT行业，第一次申请","等待","2019-01-07","null","2020-06-21 23:05"
"","小龙包","来新9年多，读本地高中，NUS degree，IT专业， 工作半年申请，月薪4000+，EP，单身，26岁","通过","2019-07-05","2020-06-19","2020-06-19 11:57"
"","Hope_Good_Luck","来新4年，36岁，国内本硕985，家庭月收入8k+，带两个女儿一起申请","等待","2019-07-30","null","2020-06-18 21:17"
"","小羊子","马来西亚人，25岁，新家坡higher Nitec part time 文凭，EP， 薪水2400, 在新大概五年，妈妈是PR, 第一次伸请。","等待","2020-06-13","null","2020-06-17 10:53"
"","SH","男主申，211本科，8年工作经验，IT行业，来新2年，EP薪水9k。女，来新2年，DP，无工作。","通过","2019-07-02","2020-03-31","2020-06-16 12:15"
"","LL","Malaysian, Diploma, 27岁 ，单身女，在新5年第一次申请，薪水2.4k","通过","2016-07-22","2017-02-10","2020-06-15 22:16"
"","pending","15年NTU master，工作4年，IT行业，月薪6.5K，单身男，二次申请","等待","2020-06-09","null","2020-06-09 12:18"
"","Covid-19 Bye Bye","马来西亚男, 单身29岁, SP月薪2.5k，Assistant Manager","等待","2020-05-23","null","2020-06-05 21:12"
"","XIAOMAN","2010年来新
私校硕士+公立硕士（PT）
工作7年半， SP 6年，EP 一年半，单身 5.3k基本月薪 第三次申请
------------
四月renew 3年EP,薪水上调200，
五月 六个月时候reject","杯具","2019-11-15","2020-05-20","2020-06-05 18:10"
"","叶青","来新工作三年，it 行业，设计，中国本科毕业，ep， 9k。 中国北方县城，单身。","等待","2019-10-20","null","2020-06-05 10:11"
"","solosquad","来新五年，nus phd，快工作满一年，工资5k","等待","2020-05-28","null","2020-06-04 09:58"
"","YishanMama","幼儿老师，老公pr。刚生了娃。还在pending中","等待","2019-07-04","null","2020-06-01 08:11"
"","bb88cc","俩人EP，来新两年，工资俩人16000+。外贸行业。顶着重税买了房子，不知道是否加分项。","等待","2020-03-20","null","2020-05-18 10:39"
"","神奈","大四+master ntu，毕业后工作3年多
主啊，都交给你了，相信你给的都是最适合我们的，阿门!  Praise the Lord!","等待","2019-11-15","null","2020-05-15 17:03"
